Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Rodrigo Abajas,21.0,Valencia,es La Liga,DF,Finisher,65,0,0,0,0.1,0.0,2,1.0
James Abankwah,20.0,Udinese,it Serie A,"DF,MF",Finisher,88,0,0,0,0.1,0.0,4,0.0
Keyliane Abdallah,18.0,Marseille,fr Ligue 1,FW,Finisher,3,0,0,0,0.0,0.0,0,0.0
Nabil Aberdin,21.0,Getafe,es La Liga,MF,Finisher,263,0,0,0,0.0,0.0,6,0.5714285714285714
Matthis Abline,21.0,Nantes,fr Ligue 1,FW,Defender,2768,9,2,11,8.5,3.8,48,0.9705882352941176
Federico Accornero,20.0,Genoa,it Serie A,MF,Finisher,5,0,0,0,0.0,0.0,0,0.0
Joshua Acheampong,18.0,Chelsea,eng Premier League,DF,Finisher,170,0,0,0,0.2,0.0,8,0.5
Martin Adeline,20.0,Reims,fr Ligue 1,MF,Finisher,26,0,0,0,0.0,0.0,0,0.0
Vasilije Adžić,18.0,Juventus,it Serie A,"MF,FW",Finisher,42,0,0,0,0.0,0.0,1,0.0
Asher Agbinone,18.0,Crystal Palace,eng Premier League,MF,Finisher,6,0,0,0,0.0,0.0,0,0.0
Jeremy Agbonifo,18.0,Lens,fr Ligue 1,"FW,MF",Finisher,300,1,0,1,0.7,0.2,6,0.125
Lorenzo Aguado,21.0,Real Madrid,es La Liga,DF,Finisher,5,0,0,0,0.0,0.0,0,0.0
Honest Ahanor,16.0,Genoa,it Serie A,"DF,MF",Finisher,270,0,0,0,0.5,0.1,3,0.5
Ayman Aiki,19.0,Saint-Étienne,fr Ligue 1,"FW,MF",Finisher,127,0,0,0,0.1,0.0,5,0.2
Junior Ajayi,19.0,Hellas Verona,it Serie A,FW,Finisher,13,0,0,0,0.0,0.0,1,0.0
Ümit Akdag,20.0,Toulouse,fr Ligue 1,DF,Finisher,500,0,0,0,0.1,0.1,29,0.6666666666666666
Ilias Akhomach,20.0,Villarreal,es La Liga,"MF,FW",Finisher,584,1,0,1,0.6,1.0,12,0.6363636363636364
Ibrahim Alani,18.0,Valladolid,es La Liga,MF,Finisher,160,0,0,0,0.0,0.0,5,0.3333333333333333
Carlos Alcaraz,21.0,Southampton,eng Premier League,MF,Finisher,10,0,0,0,0.1,0.1,6,0.0
Carlos Alcaraz,21.0,Everton,eng Premier League,"FW,MF",Playmaker,764,2,3,5,1.7,1.6,42,0.4666666666666667
Mohamed Ali Cho,20.0,Nice,fr Ligue 1,"FW,MF",Playmaker,1621,3,4,7,4.0,4.0,59,0.7777777777777778
Iker Almena,20.0,Girona,es La Liga,"FW,DF",Finisher,48,0,1,1,0.0,0.7,2,0.0
Hugo Álvarez,21.0,Celta Vigo,es La Liga,"MF,DF",Playmaker,1572,4,3,7,2.5,1.1,60,0.6153846153846154
Will Alves,19.0,Leicester City,eng Premier League,FW,Finisher,1,0,0,0,0.0,0.0,0,0.0
Harry Amass,17.0,Manchester Utd,eng Premier League,DF,Finisher,346,0,0,0,0.1,0.0,7,0.8
Aurele Amenda,21.0,Eint Frankfurt,de Bundesliga,DF,Finisher,96,0,0,0,0.0,0.3,2,0.125
Samuel Amo-Ameyaw,18.0,Southampton,eng Premier League,"FW,DF",Finisher,28,0,0,0,0.0,0.1,0,0.0
Samuel Amo-Ameyaw,18.0,Strasbourg,fr Ligue 1,"DF,MF",Finisher,320,2,0,2,0.7,0.6,12,0.3333333333333333
Mathis Amougou,18.0,Chelsea,eng Premier League,MF,Finisher,8,0,0,0,0.0,0.0,1,0.0
Mathis Amougou,18.0,Saint-Étienne,fr Ligue 1,MF,Finisher,859,0,0,0,0.5,0.4,36,0.5294117647058824
Elliot Anderson,21.0,Nott'ham Forest,eng Premier League,MF,Playmaker,2728,2,6,8,2.1,3.3,143,0.8918918918918919
Lorenzo Anghelè,19.0,Juventus,it Serie A,FW,Finisher,6,0,0,0,0.0,0.0,1,0.0
Leandro Antonetti,21.0,Sevilla,es La Liga,FW,Finisher,28,0,0,0,0.1,0.0,0,0.0
Kyllian Antonio,16.0,Lens,fr Ligue 1,"DF,MF",Finisher,139,0,0,0,0.1,0.0,0,0.6666666666666666
Antoniu,21.0,Espanyol,es La Liga,"FW,MF",Finisher,1022,0,1,1,0.9,1.1,28,0.5
Harrison Armstrong,17.0,Everton,eng Premier League,MF,Finisher,48,0,0,0,0.4,0.1,1,0.0
Hákon Arnar Haraldsson,21.0,Lille,fr Ligue 1,"MF,FW",Playmaker,1755,5,3,8,3.8,2.8,102,0.84
Sergio Arribas,21.0,Betis,es La Liga,DF,Finisher,90,0,0,0,0.0,0.0,1,1.0
Arthur,21.0,Leverkusen,de Bundesliga,DF,Finisher,752,0,1,1,0.1,0.4,25,0.35
Raúl Asencio,21.0,Real Madrid,es La Liga,DF,Playmaker,1670,0,1,1,0.1,0.6,27,0.782608695652174
Yaser Asprilla,20.0,Girona,es La Liga,"FW,MF",Playmaker,1405,3,1,4,2.1,2.8,77,0.5555555555555556
Dehmaine Assoumani,19.0,Nantes,fr Ligue 1,"MF,FW",Finisher,98,0,0,0,0.1,0.9,1,0.0
Valentin Atangana Edoa,18.0,Reims,fr Ligue 1,MF,Playmaker,2854,1,0,1,2.5,1.1,93,0.9705882352941176
Arthur Atta,21.0,Udinese,it Serie A,"MF,FW",Playmaker,1251,0,1,1,1.3,1.4,57,0.4444444444444444
Yasin Ayari,20.0,Brighton,eng Premier League,MF,Playmaker,1965,2,1,3,2.4,2.3,75,0.6470588235294118
Adam Aznou,18.0,Valladolid,es La Liga,DF,Finisher,876,0,0,0,0.3,0.3,25,0.7692307692307693
Adam Aznou,18.0,Bayern Munich,de Bundesliga,DF,Finisher,17,0,0,0,0.0,0.0,1,0.0
Papa Ba,19.0,Girona,es La Liga,MF,Finisher,48,0,0,0,0.0,0.0,0,0.0
Jacopo Bacci,19.0,Empoli,it Serie A,MF,Finisher,31,0,0,0,0.0,0.0,1,0.0
Aliou Badara Baldé,21.0,Bochum,de Bundesliga,"MF,FW",Finisher,91,0,0,0,0.2,0.2,1,0.0
Juma Bah,18.0,Valladolid,es La Liga,DF,Finisher,864,0,0,0,0.3,0.0,13,0.8333333333333334
Juma Bah,18.0,Lens,fr Ligue 1,DF,Finisher,686,0,0,0,0.1,0.2,9,0.8
Stefan Bajcetic,19.0,Las Palmas,es La Liga,"MF,DF",Finisher,969,1,0,1,0.3,0.2,39,0.8571428571428571
Darryl Bakola,16.0,Marseille,fr Ligue 1,"DF,MF",Finisher,14,0,0,0,0.0,0.0,0,0.0
Dilane Bakwa,21.0,Strasbourg,fr Ligue 1,"MF,DF",Defender,2497,6,8,14,4.7,6.6,129,0.9666666666666667
Tommaso Baldanzi,21.0,Roma,it Serie A,"MF,FW",Finisher,832,1,1,2,1.4,1.0,23,0.16129032258064516
Alejandro Balde,20.0,Barcelona,es La Liga,DF,Playmaker,2284,0,4,4,0.5,3.4,93,0.8125
Carlos Baleba,20.0,Brighton,eng Premier League,MF,Playmaker,2661,3,1,4,3.1,1.3,118,0.9117647058823529
Mohamed Bamba,19.0,Reims,fr Ligue 1,MF,Finisher,10,0,0,0,0.0,0.0,3,0.0
Samuel Bamba,20.0,Bochum,de Bundesliga,"FW,MF",Finisher,27,0,0,0,0.1,0.0,5,0.0
Noahkai Banks,17.0,Augsburg,de Bundesliga,DF,Finisher,278,0,0,0,0.1,0.0,8,0.25
Adrian Baquerin,17.0,Valladolid,es La Liga,FW,Finisher,49,0,0,0,0.4,0.0,1,0.0
Valentín Barco,20.0,Sevilla,es La Liga,"DF,FW",Finisher,288,0,0,0,0.3,0.6,13,0.42857142857142855
Valentín Barco,20.0,Strasbourg,fr Ligue 1,"MF,DF",Playmaker,1157,0,2,2,0.5,1.5,64,1.0
Bradley Barcola,21.0,Paris S-G,fr Ligue 1,FW,Defender,2181,14,10,24,13.4,10.1,96,0.7941176470588235
Téo Barisic,19.0,Lyon,fr Ligue 1,DF,Finisher,2,0,0,0,0.0,0.0,0,0.0
Pablo Barrios,21.0,Atlético Madrid,es La Liga,MF,Playmaker,2330,1,4,5,1.3,2.4,142,0.9032258064516129
Thierno Barry,21.0,Villarreal,es La Liga,FW,Defender,2323,11,4,15,12.5,2.9,27,0.7142857142857143
Davide Bartesaghi,18.0,Milan,it Serie A,DF,Finisher,118,0,0,0,0.0,0.1,2,0.25
Aboubacar Bassinga,19.0,Las Palmas,es La Liga,MF,Finisher,4,0,0,0,0.0,0.0,0,0.0
Rafael Bauza,19.0,Espanyol,es La Liga,MF,Finisher,183,0,0,0,0.1,0.0,7,0.4
